year month day hour minute second windspeed_ms
2015 4 8 20 15 5 9.056667
2015 4 8 21 15 5 9.136667
2015 4 8 22 15 5 9.402000
2015 4 8 23 15 5 9.635000
2015 4 9 0 15 5 8.680000
2015 4 9 1 15 5 8.680000
2015 4 9 2 15 5 5.570000
2015 4 9 3 15 5 4.510000
2015 4 9 4 15 5 7.480000
2015 4 9 5 15 5 8.025000
2015 4 9 6 15 5 7.195000
2015 4 9 7 15 5 7.918000
2015 4 9 8 15 5 7.918000
2015 4 9 9 15 5 8.753333
2015 4 9 10 15 5 6.442500
2015 4 9 11 15 5 7.481667
2015 4 9 12 15 5 7.090000
2015 4 9 13 15 5 8.240000
2015 4 9 14 15 5 6.471667
2015 4 9 15 15 5 4.028000
2015 4 9 16 15 5 6.590000
2015 4 9 17 15 5 8.346667
2015 4 9 18 15 5 8.231667
2015 4 9 19 15 5 8.860000
2015 4 9 20 15 5 8.235000
2015 4 9 21 15 5 8.205000
2015 4 9 22 15 5 5.516667
2015 4 9 23 15 5 5.956000
2015 4 10 0 15 5 7.597500
2015 4 10 1 15 5 8.375000
2015 4 10 2 15 5 8.375000
2015 4 10 3 15 5 8.375000
2015 4 10 4 15 5 9.770000
2015 4 10 5 15 5 11.295000
2015 4 10 6 15 5 12.416667
2015 4 10 7 15 5 10.793333
2015 4 10 8 15 5 8.323333
2015 4 10 9 15 5 7.666667
2015 4 10 10 15 5 7.491667
2015 4 10 11 15 5 7.806667
2015 4 10 12 15 5 11.835000
2015 4 10 13 15 5 15.393333
2015 4 10 14 15 5 16.651667
2015 4 10 15 15 5 16.945000
2015 4 10 16 15 5 16.166667
2015 4 10 17 15 5 16.383333
2015 4 10 18 15 5 16.306667
2015 4 10 19 15 5 17.438333
2015 4 10 20 15 5 17.403333
2015 4 10 21 15 5 17.863333
2015 4 10 22 15 5 20.551667
2015 4 10 23 15 5 20.923333
2015 4 11 0 15 5 20.846667
2015 4 11 1 15 5 20.568333
2015 4 11 2 15 5 19.998333
2015 4 11 3 15 5 20.063333
2015 4 11 4 15 5 12.630000
2015 4 11 5 15 5 9.212500
2015 4 11 6 15 5 8.276667
2015 4 11 7 15 5 10.015000
2015 4 11 8 15 5 11.613333
2015 4 11 9 15 5 12.080000
2015 4 11 10 15 5 11.151667
2015 4 11 11 15 5 8.731667
2015 4 11 12 15 5 6.266667
2015 4 11 13 15 5 5.115000
2015 4 11 14 15 5 3.123333
2015 4 11 15 15 5 1.576667
2015 4 11 16 15 5 0.436667
2015 4 11 17 15 5 0.715000
2015 4 11 18 15 5 1.643333
2015 4 11 19 15 5 1.178333
2015 4 11 20 15 5 1.363333
2015 4 11 21 15 5 0.968333
2015 4 11 22 15 5 0.920000
2015 4 11 23 15 5 0.960000
2015 4 12 0 15 5 1.803333
2015 4 12 1 15 5 2.758333
2015 4 12 2 15 5 3.453333
2015 4 12 3 15 5 3.303333
2015 4 12 4 15 5 2.885000
2015 4 12 5 15 5 3.108333
2015 4 12 6 15 5 3.506667
2015 4 12 7 15 5 4.073333
2015 4 12 8 15 5 4.146667
2015 4 12 9 15 5 3.710000
2015 4 12 10 15 5 4.306667
2015 4 12 11 15 5 5.465000
2015 4 12 12 15 5 6.330000
2015 4 12 13 15 5 6.355000
2015 4 12 14 15 5 3.690000
2015 4 12 15 15 5 1.888333
2015 4 12 16 15 5 0.893333
2015 4 12 17 15 5 1.136667
2015 4 12 18 15 5 0.803333
2015 4 12 19 15 5 0.930000
2015 4 12 20 15 5 1.301667
2015 4 12 21 15 5 2.115000
2015 4 12 22 15 5 2.890000
2015 4 12 23 15 5 3.746667
2015 4 13 0 15 5 4.528333
2015 4 13 1 15 5 5.920000
2015 4 13 2 15 5 6.070000
2015 4 13 3 15 5 6.363333
2015 4 13 4 15 5 6.001667
2015 4 13 5 15 5 5.258333
2015 4 13 6 15 5 4.998333
2015 4 13 7 15 5 5.448333
2015 4 13 8 15 5 6.023333
2015 4 13 9 15 5 6.035000
2015 4 13 10 15 5 6.401667
2015 4 13 11 15 5 6.376667
2015 4 13 12 15 5 7.161667
2015 4 13 13 15 5 7.206667
2015 4 13 14 15 5 7.326667
2015 4 13 15 15 5 7.738333
2015 4 13 16 15 5 7.263333
2015 4 13 17 15 5 7.458333
2015 4 13 18 15 5 7.983333
2015 4 13 19 15 5 7.621667
2015 4 13 20 15 5 7.958333
2015 4 13 21 15 5 8.568333
2015 4 13 22 15 5 9.438333
2015 4 13 23 15 5 10.861667
2015 4 14 0 15 5 13.836667
2015 4 14 1 15 5 11.371667
2015 4 14 2 15 5 11.558333
2015 4 14 3 15 5 13.908333
2015 4 14 4 15 5 14.456667
2015 4 14 5 15 5 14.968333
2015 4 14 6 15 5 14.615000
2015 4 14 7 15 5 13.941667
2015 4 14 8 15 5 13.706667
2015 4 14 9 15 5 12.735000
2015 4 14 10 15 5 12.596667
2015 4 14 11 15 5 12.668333
2015 4 14 12 15 5 13.258333
2015 4 14 13 15 5 14.308333
2015 4 14 14 15 5 14.507500
2015 4 14 15 15 5 15.685000
2015 4 14 16 15 5 15.400000
2015 4 14 17 15 5 14.066667
2015 4 14 18 15 5 13.816667
2015 4 14 19 15 5 14.473333
2015 4 14 20 15 5 15.568333
2015 4 14 21 15 5 12.848000
2015 4 14 22 15 5 13.600000
2015 4 14 23 15 5 5.170000
2015 4 15 0 15 5 7.118000
2015 4 15 1 15 5 16.721667
2015 4 15 2 15 5 16.152500
2015 4 15 3 15 5 14.714000
2015 4 15 4 15 5 16.256667
2015 4 15 5 15 5 18.070000
2015 4 15 6 15 5 16.665000
2015 4 15 7 15 5 14.388000
2015 4 15 8 15 5 14.721667
2015 4 15 9 15 5 14.105000
2015 4 15 10 15 5 12.425000
2015 4 15 11 15 5 12.693333
2015 4 15 12 15 5 12.600000
2015 4 15 13 15 5 13.420000
2015 4 15 14 15 5 13.375000
2015 4 15 15 15 5 13.463333
2015 4 15 16 15 5 11.906667
2015 4 15 17 15 5 10.753333
2015 4 15 18 15 5 9.960000
2015 4 15 19 15 5 12.706667
2015 4 15 20 15 5 11.275000
2015 4 15 21 15 5 10.585000
2015 4 15 22 15 5 10.363333
2015 4 15 23 15 5 10.078333
2015 4 16 0 15 5 8.498333
2015 4 16 1 15 5 8.966667
2015 4 16 2 15 5 9.250000
2015 4 16 3 15 5 8.446667
2015 4 16 4 15 5 7.996667
2015 4 16 5 15 5 8.590000
2015 4 16 6 15 5 7.445000
2015 4 16 7 15 5 7.551667
2015 4 16 8 15 5 8.868333
2015 4 16 9 15 5 9.815000
2015 4 16 10 15 5 10.798333
2015 4 16 11 15 5 12.126667
2015 4 16 12 15 5 13.651667
2015 4 16 13 15 5 14.866667
2015 4 16 14 15 5 14.276667
2015 4 16 15 15 5 13.016667
2015 4 16 16 15 5 10.740000
2015 4 16 17 15 5 8.870000
2015 4 16 18 15 5 7.586667
2015 4 16 19 15 5 8.543333
2015 4 16 20 15 5 9.496667
2015 4 16 21 15 5 9.895000
2015 4 16 22 15 5 9.183333
2015 4 16 23 15 5 8.411667
2015 4 17 0 15 5 9.556667
2015 4 17 1 15 5 10.093333
2015 4 17 2 15 5 10.678333
2015 4 17 3 15 5 11.311667
2015 4 17 4 15 5 10.475000
2015 4 17 5 15 5 10.510000
2015 4 17 6 15 5 11.675000
2015 4 17 7 15 5 10.878333
2015 4 17 8 15 5 11.071667
2015 4 17 9 15 5 11.343333
2015 4 17 10 15 5 10.143333
2015 4 17 11 15 5 10.255000
2015 4 17 12 15 5 9.216667
2015 4 17 13 15 5 7.146667
2015 4 17 14 15 5 6.408333
2015 4 17 15 15 5 7.011667
2015 4 17 16 15 5 7.566667
2015 4 17 17 15 5 6.831667
2015 4 17 18 15 5 6.328333
2015 4 17 19 15 5 6.965000
2015 4 17 20 15 5 7.755000
2015 4 17 21 15 5 7.753333
2015 4 17 22 15 5 7.710000
2015 4 17 23 15 5 9.736667
2015 4 18 0 15 5 10.430000
2015 4 18 1 15 5 10.038333
2015 4 18 2 15 5 8.796667
2015 4 18 3 15 5 8.995000
2015 4 18 4 15 5 8.845000
2015 4 18 5 15 5 9.018333
2015 4 18 6 15 5 9.250000
2015 4 18 7 15 5 9.408333
2015 4 18 8 15 5 8.738333
2015 4 18 9 15 5 8.345000
2015 4 18 10 15 5 8.661667
2015 4 18 11 15 5 7.493333
2015 4 18 12 15 5 6.651667
2015 4 18 13 15 5 5.173333
2015 4 18 14 15 5 4.798333
2015 4 18 15 15 5 5.966667
2015 4 18 16 15 5 7.880000
2015 4 18 17 15 5 6.580000
2015 4 18 18 15 5 5.281667
2015 4 18 19 15 5 6.305000
2015 4 18 20 15 5 6.033333
2015 4 18 21 15 5 3.783333
2015 4 18 22 15 5 3.132000
2015 4 18 23 15 5 3.503333
2015 4 19 0 15 5 2.691667
2015 4 19 1 15 5 1.570000
2015 4 19 2 15 5 1.661667
2015 4 19 3 15 5 1.614000
2015 4 19 4 15 5 2.190000
2015 4 19 5 15 5 1.627500
2015 4 19 6 15 5 2.512000
2015 4 19 7 15 5 2.481667
2015 4 19 8 15 5 2.748333
2015 4 19 9 15 5 4.191667
2015 4 19 10 15 5 12.001667
2015 4 19 11 15 5 13.010000
2015 4 19 12 15 5 13.220000
2015 4 19 13 15 5 13.140000
2015 4 19 14 15 5 12.500000
2015 4 19 15 15 5 14.348333
2015 4 19 16 15 5 14.180000
2015 4 19 17 15 5 14.761667
2015 4 19 18 15 5 15.288333
2015 4 19 19 15 5 15.251667
2015 4 19 20 15 5 9.832000
2015 4 19 21 15 5 13.960000
2015 4 19 22 15 5 14.758333
2015 4 19 23 15 5 12.315000
2015 4 20 0 15 5 16.448333
2015 4 20 1 15 5 19.486667
2015 4 20 2 15 5 19.820000
2015 4 20 3 15 5 19.353333
2015 4 20 4 15 5 19.468333
2015 4 20 5 15 5 20.696667
2015 4 20 6 15 5 20.816667
2015 4 20 7 15 5 21.916667
2015 4 20 8 15 5 21.341667
2015 4 20 9 15 5 19.768333
2015 4 20 10 15 5 18.711667
2015 4 20 11 15 5 13.638333
2015 4 20 12 15 5 9.793333
2015 4 20 13 15 5 8.423333
2015 4 20 14 15 5 8.545000
2015 4 20 15 15 5 8.818333
2015 4 20 16 15 5 9.260000
2015 4 20 17 15 5 10.986667
2015 4 20 18 15 5 11.603333
2015 4 20 19 15 5 12.880000
2015 4 20 20 15 5 13.000000
2015 4 20 21 15 5 13.126667
2015 4 20 22 15 5 14.660000
2015 4 20 23 15 5 17.670000
2015 4 21 0 15 5 15.916667
2015 4 21 1 15 5 17.373333
2015 4 21 2 15 5 18.446667
2015 4 21 3 15 5 18.361667
2015 4 21 4 15 5 18.146667
2015 4 21 5 15 5 16.115000
2015 4 21 6 15 5 14.926667
2015 4 21 7 15 5 14.283333
2015 4 21 8 15 5 14.716667
2015 4 21 9 15 5 15.096667
2015 4 21 10 15 5 12.788333
2015 4 21 11 15 5 12.688333
2015 4 21 12 15 5 15.251667
2015 4 21 13 15 5 13.063333
2015 4 21 14 15 5 11.220000
2015 4 21 15 15 5 7.271667
2015 4 21 16 15 5 3.960000
2015 4 21 17 15 5 1.901667
2015 4 21 18 15 5 1.668333
2015 4 21 19 15 5 4.110000
2015 4 21 20 15 5 5.670000
2015 4 21 21 15 5 6.205000
2015 4 21 22 15 5 8.445000
2015 4 21 23 15 5 7.641667
2015 4 22 0 15 5 6.548333
2015 4 22 1 15 5 5.451667
2015 4 22 2 15 5 4.968333
2015 4 22 3 15 5 5.145000
2015 4 22 4 15 5 5.426667
2015 4 22 5 15 5 6.105000
2015 4 22 6 15 5 7.345000
2015 4 22 7 15 5 7.771667
2015 4 22 8 15 5 6.298333
2015 4 22 9 15 5 4.795000
2015 4 22 10 15 5 4.880000
2015 4 22 11 15 5 4.873333
2015 4 22 12 15 5 4.746667
2015 4 22 13 15 5 5.368333
2015 4 22 14 15 5 6.781667
2015 4 22 15 15 5 8.508333
2015 4 22 16 15 5 9.915000
2015 4 22 17 15 5 11.905000
2015 4 22 18 15 5 12.586667
2015 4 22 19 15 5 11.703333
2015 4 22 20 15 5 12.635000
2015 4 22 21 15 5 12.413333
2015 4 22 22 15 5 14.416667
2015 4 22 23 15 5 13.730000
2015 4 23 0 15 5 12.183333
2015 4 23 1 15 5 6.401667
2015 4 23 2 15 5 7.118333
2015 4 23 3 15 5 12.976667
2015 4 23 4 15 5 12.555000
2015 4 23 5 15 5 11.393333
2015 4 23 6 15 5 9.728333
2015 4 23 7 15 5 9.625000
2015 4 23 8 15 5 9.425000
2015 4 23 9 15 5 10.080000
2015 4 23 10 15 5 9.586667
2015 4 23 11 15 5 10.771667
2015 4 23 12 15 5 9.545000
2015 4 23 13 15 5 5.690000
2015 4 23 14 15 5 3.860000
2015 4 23 15 15 5 6.555000
2015 4 23 16 15 5 6.905000
2015 4 23 17 15 5 4.668333
2015 4 23 18 15 5 3.205000
2015 4 23 19 15 5 2.101667
2015 4 23 20 15 5 3.233333
2015 4 23 21 15 5 3.815000
2015 4 23 22 15 5 3.965000
2015 4 23 23 15 5 6.746667
2015 4 24 0 15 5 8.540000
2015 4 24 1 15 5 8.875000
2015 4 24 2 15 5 4.678333
2015 4 24 3 15 5 3.388333
2015 4 24 4 15 5 1.598333
2015 4 24 5 15 5 3.388333
2015 4 24 6 15 5 9.891667
2015 4 24 7 15 5 9.078333
2015 4 24 8 15 5 7.561667
2015 4 24 9 15 5 7.376667
2015 4 24 10 15 5 9.911667
2015 4 24 11 15 5 11.021667
2015 4 24 12 15 5 12.625000
2015 4 24 13 15 5 11.786667
2015 4 24 14 15 5 11.436667
2015 4 24 15 15 5 11.088333
2015 4 24 16 15 5 9.840000
2015 4 24 17 15 5 8.233333
2015 4 24 18 15 5 6.531667
2015 4 24 19 15 5 4.920000
2015 4 24 20 15 5 5.408333
2015 4 24 21 15 5 3.953333
2015 4 24 22 15 5 4.051667
2015 4 24 23 15 5 3.848333
2015 4 25 0 15 5 3.933333
2015 4 25 1 15 5 5.545000
2015 4 25 2 15 5 6.143333
