hr,windspeed_ms,price_dollarsPerMWh,emissions_tonCO2PerMWh
723,18.661667,45.407795,0.42
724,17.775,42.177562,0.42
725,16.88,39.33068,0.42
726,17.586667,38.905772,0.42
727,17.211667,64.1221,0.42
728,16.733333,91.05834,0.42
729,16.141667,49.235111,0.42
730,16.026667,74.800003,0.42
731,14.905,82.565169,0.42
732,14.803333,60.189121,0.42
733,13.478333,52.915265,0.42
734,13.35,36.158373,0.42
735,11.76,37.85646,0.42
736,10.726667,42.561817,0.42
737,10.518,34.982573,0.42
738,9.985,50.606268,0.42
739,11.025,53.174683,0.42
740,9.22,51.323562,0.42
741,8.633333,53.364263,0.42
742,8.815,68.114929,0.42
743,8.473333,38.257102,0.42
744,7.215,39.098623,0.42
745,6.6,43.383864,0.42
746,4.5275,42.080731,0.42
747,4.5275,39.391522,0.42
748,4.5275,39.30391,0.42
749,2.455,39.994821,0.42
750,2.07,40.616139,0.42
751,2.183333,42.359134,0.42
752,1.016667,51.116695,0.42
753,0.893333,49.150173,0.42
754,1.251667,74.71146,0.42
755,3.02,45.330224,0.42
756,4.883333,55.688717,0.42
757,5.9,54.975742,0.42
758,5.813333,43.204002,0.42
759,5.918333,41.623153,0.42
760,5.81,32.529079,0.42
761,4.983333,37.270069,0.42
762,4.181667,45.551544,0.42
763,4.601667,37.836592,0.42
764,5.425,39.356255,0.42
765,5.768333,41.848889,0.42
766,6.13,44.349798,0.42
767,7.37,34.734755,0.42
768,9.045,29.468135,0.42
769,10.261667,36.900649,0.42
770,11.113333,53.438114,0.42
771,11.086667,41.721354,0.42
772,12.566667,43.655026,0.42
773,12.261667,41.223875,0.42
774,16.308333,118.877893,0.42
775,20.656667,40.63757,0.42
776,20.168333,65.488613,0.42
777,19.405,47.80941,0.42
778,18.946667,61.160335,0.42
779,18.846667,29.341756,0.42
780,19.07,24.473154,0.42
781,20.593333,23.363584,0.42
782,20.778333,22.63095,0.42
783,20.731667,22.83758,0.42
784,20.288333,22.493523,0.42
785,19.081667,22.324196,0.42
786,19.626667,34.213468,0.42
787,20.82,45.405932,0.42
788,17.618333,27.845151,0.42
789,13.148333,25.893668,0.42
790,8.61,23.818355,0.42
791,5.878333,28.517464,0.42
792,16.86,20.834593,0.42
793,20.395,21.719303,0.42
794,22.81,21.366599,0.42
795,19.306667,21.568259,0.42
796,17.863333,21.574144,0.42
797,16.14,21.855382,0.42
798,15.16,22.309723,0.42
799,15.013333,23.551989,0.42
800,13.493333,23.386732,0.42
801,12.066667,23.746392,0.42
802,12.183333,22.237909,0.42
803,11.881667,21.173412,0.42
804,10.363333,20.565142,0.42
805,9.508333,20.005983,0.42
806,9.408333,19.624509,0.42
807,9.186667,19.464625,0.42
808,8.28,19.55882,0.42
809,6.658333,19.459916,0.42
810,5.593333,23.035845,0.42
811,5.223333,24.365416,0.42
812,4.841667,20.503041,0.42
813,3.6,21.698522,0.42
814,2.671667,20.322222,0.42
815,1.735,19.981906,0.42
816,2.541667,18.795172,0.42
817,3.266667,19.172439,0.42
818,3.628,19.534186,0.42
819,4.04,19.428227,0.42
820,4.04,19.652912,0.42
821,4.16,20.729233,0.42
822,5.1,22.078888,0.42
823,4.623333,35.925708,0.42
824,5.155,30.776552,0.42
825,5.49,23.738627,0.42
826,6.011667,22.491684,0.42
827,6.555,19.778328,0.42
828,7.185,19.73114,0.42
829,6.796667,19.931452,0.42
830,6.755,20.162183,0.42
831,6.698333,19.658693,0.42
832,7.996667,19.698408,0.42
833,7.6,19.819721,0.42
834,7.761667,22.132081,0.42
835,8.891667,23.616885,0.42
836,10.226667,23.144554,0.42
837,11.866667,22.329329,0.42
838,9.745,19.600554,0.42
839,8.315,19.555553,0.42
840,8.076667,19.827974,0.42
841,8.24,19.624056,0.42
842,8.24,19.582975,0.42
843,8.01,19.632029,0.42
844,7.915,20.022056,0.42
845,7.785,20.38191,0.42
846,7.323333,24.378258,0.42
847,8.145,27.988712,0.42
848,8.348,26.357229,0.42
849,8.275,26.856479,0.42
850,8.866667,28.20379,0.42
851,9.295,22.536097,0.42
852,9.295,21.865886,0.42
853,9.295,22.481764,0.42
854,9.096667,21.124747,0.42
855,13.988333,21.182358,0.42
856,18.283333,20.085579,0.42
857,20.008333,20.517801,0.42
858,19.585,22.727928,0.42
859,19.413333,24.927723,0.42
860,18.998333,27.174332,0.42
861,17.973333,23.649651,0.42
862,17.733333,20.210513,0.42
863,17.493333,20.633546,0.42
864,17.215,18.180614,0.42
865,15.986667,19.203055,0.42
866,15.251667,18.353319,0.42
867,14.436667,18.507699,0.42
868,13.603333,18.237067,0.42
869,13.393333,17.916336,0.42
870,12.471667,19.140312,0.42
871,10.733333,21.639255,0.42
872,9.43,31.306598,0.42
873,9.386667,21.441865,0.42
874,8.426667,20.931075,0.42
875,7.59,21.545266,0.42
876,7.261667,21.201159,0.42
877,7.16,21.222498,0.42
878,5.675,21.792784,0.42
879,5.091667,21.934354,0.42
880,5.091667,22.975675,0.42
881,3.71,23.527652,0.42
882,4.036,37.098045,0.42
883,4.036,29.457638,0.42
884,5.496667,33.96645,0.42
885,7.4,23.080061,0.42
886,8.565,22.607413,0.42
887,8.685,19.918361,0.42
