,index,capacity_MW,depth_m,duration_hr,k_type,permeability_mD,porosity,thickness_m,RTE,kWh_in,kWh_out,kW_in_avg,kW_out_avg,kg_water_per_kWh,kg_CO2_per_kWh,kg_fuel_per_kWh,dp_well_avg,dp_pipe_f_avg,T_aquifer,T_cmp_out,errors,MWh_cushion_gas,T_store_init,T_cmp_out_avg,T_exp_out_avg,p_store_min,p_store_max,solve_time,iterations,m_dot,r_f
113,113,140.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7955819659918644,8446642.525980918,6719996.466850386,169812.7306714575,139999.94416377737,86.40964727861292,0.0,0.0,0.19946427098667585,0.6700137853016602,,,false,36696.103302432755,316.02152033,356.46316452728803,316.02152032999993,14.0235,17.34005775,100.47737956047058,32,366.72450034176234,202.5784625794741
114,114,150.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7930014511233576,9079425.221002469,7199997.37562097,182534.2995586855,149999.96313971328,86.55700944968976,0.0,0.0,0.2153104410803619,0.7671852968124706,,,false,39649.97363892732,316.02152033,356.56980015191976,316.02152032999993,14.0235,17.34005775,102.25824642181396,33,393.58921805730387,210.41139770767924
115,115,160.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7902663269852603,9718238.210706722,7679996.4155430095,195377.11416632764,159999.95273492605,86.7160642013454,0.0,0.0,0.23134076528872768,0.8710517928457411,,,false,42663.81724855624,316.02152033,356.6815029838024,316.02152032999993,14.0235,17.34005775,101.88999223709106,33,420.59995398149,218.08514342860843
116,116,170.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.787374509904575,10363550.079354094,8159995.164602949,208350.58761511795,169999.93970133027,86.88751853751278,0.0,0.0,0.2475615319077457,0.9816845654927371,,,false,45741.319227377244,316.02152033,356.79806407091166,316.02152032999993,14.0235,17.34005775,101.7320704460144,33,447.77102026711935,225.62303535641206
117,117,180.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7843231639629862,11015862.99438274,8639996.517537046,221464.78591193483,179999.96019982803,87.07217590687094,0.0,0.0,0.2639804526237156,1.0991725250407083,,,false,48886.46692857394,316.02152033,356.9192849688944,316.02152032999993,14.0235,17.34005775,105.68640089035034,34,475.1181253078679,233.04578191475164
118,118,190.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.781108612078749,11675707.104596147,9119995.371509086,234730.4180239478,189999.94925943055,87.27094957308162,0.0,0.0,0.28060655005386037,1.2236236930497204,,,false,52103.543332377245,316.02152033,357.0449788095708,316.02152032999993,14.0235,17.34005775,106.10018277168274,34,502.65845090403695,240.37201601215173
119,119,200.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7777261292251464,12343668.964048252,9599993.88384582,248159.25597959358,199999.93532062336,87.48488539848522,0.0,0.0,0.297450622418313,1.355170873717792,,,false,55397.2839983089,316.02152033,357.1749752155262,316.02152032999993,14.0235,17.34005775,102.9431517124176,34,530.4112132596998,247.61891821574648
120,120,210.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7741697882461875,13020393.945895303,10079995.62397571,261764.22933801022,209999.95647361022,87.71518439142841,0.0,0.0,0.3145252964206,1.4939748665966048,,,false,58772.91819479958,316.02152033,357.30912207037545,316.02152032999993,14.0235,17.34005775,105.97785949707031,35,558.3978976148533,254.80258644351753
121,121,220.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7704322881538426,13706583.163855132,10559994.229699844,275559.51273905556,219999.94396073426,87.96322966172194,0.0,0.0,0.33184507101246474,1.6402277098947078,,,false,62236.18840077717,316.02152033,357.4472868587059,316.02152032999993,14.0235,17.34005775,109.55126762390137,35,586.6425181022827,261.93831616632184
122,122,230.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7665046004758664,14403039.236424463,11039995.835553762,289561.1618104179,229999.96129204368,88.23062986015088,0.0,0.0,0.34942709272151573,1.794162156849559,,,false,65793.61245788506,316.02152033,357.5893632599712,316.02152032999993,14.0235,17.34005775,112.13947772979736,36,615.1725143597213,269.0411046647585
